monster,family,element,acquired,build,date,id
Rainbowmon,Raibowmon,Light,Guild Shop,no,2020-05-25,374
Mimick,Mimick,Wind,Unknown Scroll,no,2020-05-25,375
Slime,Slime,Fire,Unknown Scroll,no,2020-05-25,376
Mimick,Mimick,Water,Unknown Scroll,no,2020-05-25,377
Mimick,Mimick,Water,Unknown Scroll,no,2020-05-25,378
Surprise Box,Surprise Box,Wind,Unknown Scroll,no,2020-05-25,379
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-25,380
Maned Boar,Maned Boar,Wind,Magic Shop,no,2020-05-25,381
Golem,Golem,Fire,Mt. Siz 6 (Hard),no,2020-05-25,382
Golem,Golem,Fire,Mt. Siz 6 (Hard),no,2020-05-25,383
Skull Soldier,Skull Soldier,Fire,Magic Shop,no,2020-05-25,384
Rakaja,Yeti,Wind,Challenge Reward (Daily Dungeon Tips - Clear the 3rd floor of the Hall of Dark),yes,2020-05-25,385
Angelmon,Angelmon,Dark,Hall of Dark B3,no,2020-05-25,386
Mimick,Mimick,Wind,Mt. Siz 6 (Hard),no,2020-05-25,387
Skull Soldier,Skull Soldier,Fire,Magic Shop,no,2020-05-25,388
Battle Scorpion,Battle Scorpion,Water,Magic Shop,yes,2020-05-25,389
Slime,Slime,Fire,Mt. Siz 6 (Hard),no,2020-05-25,390
Mimick,Mimick,Wind,Mt. Siz 6 (Hard),no,2020-05-25,391
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-05-25,392
Skull Soldier,Skull Soldier,Fire,Magic Shop,no,2020-05-25,393
Golem,Golem,Fire,Mt. Siz 6 (Hard),no,2020-05-25,394
Red Angelmon,Angelmon,Fire,6-star Evolution Reward (first Fire Monster - Fire Slime - Day 1),no,2020-05-25,395
Red Angelmon,Angelmon,Fire,6-star Evolution Reward (first Fire Monster - Fire Slime - Day 1),no,2020-05-25,396
Red Angelmon,Angelmon,Fire,6-star Evolution Reward (first Fire Monster - Fire Slime - Day 1),no,2020-05-25,397
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-25,398
Rainbowmon,Raibowmon,Light,Event Reward (6-Year Special Fusion Support x Skill Level-up Project),no,2020-05-25,399
Sandman,Sandman,Wind,Unknown Scroll,no,2020-05-25,400
Sandman,Sandman,Fire,Unknown Scroll,no,2020-05-25,401
Ghost,Ghost,Fire,Unknown Scroll,no,2020-05-25,402
Low Elemental,Low Elemental,Water,Unknown Scroll,no,2020-05-25,403
Howl,Howl,Wind,Unknown Scroll,no,2020-05-25,404
Horned Frog,Horned Frog,Water,Unknown Scroll,no,2020-05-25,405
Low Elemental,Low Elemental,Wind,Unknown Scroll,no,2020-05-25,406
Ghost,Ghost,Fire,Unknown Scroll,no,2020-05-25,407
Imp,Imp,Fire,Unknown Scroll,no,2020-05-25,408
Skull Soldier,Skull Soldier,Water,Unknown Scroll,no,2020-05-25,409
Ghost,Ghost,Wind,Unknown Scroll,no,2020-05-25,410
Ghost,Ghost,Fire,Unknown Scroll,no,2020-05-25,411
Slime,Slime,Wind,Unknown Scroll,no,2020-05-25,412
Yeti,Yeti,Water,Unknown Scroll,no,2020-05-25,413
Warbear,Warbear,Fire,Unknown Scroll,no,2020-05-25,414
Slime,Slime,Wind,Unknown Scroll,no,2020-05-25,415
Mischievous Bat,Mischievous Bat,Wind,Unknown Scroll,no,2020-05-25,416
Low Elemental,Low Elemental,Fire,Unknown Scroll,no,2020-05-25,417
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-05-25,418
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-05-25,419
Slime,Slime,Wind,Unknown Scroll,no,2020-05-25,420
Low Elemental,Low Elemental,Wind,Unknown Scroll,no,2020-05-25,421
Low Elemental,Low Elemental,Fire,Unknown Scroll,no,2020-05-25,422
Golem,Golem,Fire,Mt. Siz 1 (Hard),no,2020-05-25,423
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-05-25,424
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-05-25,425
Rainbowmon,Rainbowmon,Light,Mt. Siz 1 (Hard),no,2020-05-25,426
Maned Boar,Maned Boar,Wind,Magic Shop,no,2020-05-25,427
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-25,428
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-25,429
Vampire,Vampire,Fire,Event Reward (6-Year Special Fusion Support x Skill Level-up Project),yes,2020-05-25,430
Sylph,Sylph,Fire,Event Reward (6-Year Special Fusion Support x Skill Level-up Project),yes,2020-05-25,431
Joker,Joker,Fire,Event Reward (6-Year Special Fusion Support x Skill Level-up Project),yes,2020-05-25,432
Slime,Slime,Fire,Magic Shop,no,2020-05-25,433
Mushroom,Mushroom,Water,Magic Shop,no,2020-05-25,434
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-25,435
Rainbowmon,Rainbowmon,Light,6-star Evolution Reward (first Fire Monster - Fire Slime - Day 2),no,2020-05-26,436
Surprise Box,Surprise Box,Fire,Magic Shop,no,2020-05-26,437
Horned Frog,Horned Frog,Water,Unknown Scroll,no,2020-05-26,438
Forest Keeper,Forest Keeper,Water,Unknown Scroll,no,2020-05-26,439
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-26,440
Bernard,Griffon,Wind,Challenge Reward (Giant's Keep Master - Clear the 3rd Floor of the Giant's Keep),yes,2020-05-26,441
Angelmon,Angelmon,Fire,Hall of Fire B2,no,2020-05-26,442
Konamiya,Garuda,Water,Challenge Reward (Daily Dungeon Tips - Clear the 3rd floor of the Hall of Fire),yes,2020-05-26,443
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-26,444
Golem,Golem,Fire,Mt. Siz 1 (Hard),no,2020-05-26,445
Slime,Slime,Wind,Magic Shop,no,2020-05-26,446
Golem,Golem,Fire,Mt. Siz 1 (Hard),no,2020-05-26,447
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-26,448
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-26,449
Ghost,Ghost,Water,Mt. Siz 1 (Hard),no,2020-05-26,450
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-26,451
Battle Scorpion,Battle Scorpion,Wind,Magic Shop,no,2020-05-26,452
Skull Soldier,Skull Soldier,Water,Magic Shop,no,2020-05-26,453
Rainbowmon,Rainbowmon,Light,New User Exclusive Gift (Day 10),no,2020-05-27,454
Blue Angelmon,Angelmon,Water,Awakened (ID 167),no,2020-05-27,455
Blue Angelmon,Angelmon,Water,Awakened (ID 168),no,2020-05-27,456
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-05-27,457
Rainbowmon,Raibowmon,Light,Challenge Reward (Monster Training 101 - Awaken a Monster),no,2020-05-27,458
Rainbowmon,Raibowmon,Light,Challenge Reward (Monster Training 101 - Awaken a Monster),no,2020-05-27,459
Rainbowmon,Raibowmon,Light,Challenge Reward (Monster Training 101 - Awaken a Monster),no,2020-05-27,460
Ghost,Ghost,Wind,Unknown Scroll,no,2020-05-27,461
Slime,Slime,Wind,Unknown Scroll,no,2020-05-27,462
Pixie,Pixie,Wind,Unknown Scroll,no,2020-05-27,463
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-27,464
Sandman,Sandman,Fire,Unknown Scroll,no,2020-05-27,465
Rainbowmon,Rainbowmon,Light,Necropolis B2,no,2020-05-27,466
Ghost,Ghost,Water,Mt. Siz 1 (Hard),no,2020-05-27,467
Mischievous Bat,Mischievous Bat,Fire,Magic Shop,no,2020-05-27,468
Battle Scorpion,Battle Scorpion,Water,Magic Shop,no,2020-05-27,469
Skull Soldier,Skull Soldier,Fire,Magic Shop,no,2020-05-27,470
Mischievous Bat,Mischievous Bat,Fire,Magic Shop,no,2020-05-27,471
Mushroom,Mushroom,Water,Magic Shop,no,2020-05-27,472
Slime,Slime,Wind,Unknown Scroll,no,2020-05-27,473
Garuda,Garuda,Wind,Unknown Scroll,no,2020-05-27,474
Slime,Slime,Fire,Unknown Scroll,no,2020-05-27,475
Tigresse,Low Elemental,Water,Unknown Scroll,yes,2020-05-27,476
Slime,Slime,Fire,Unknown Scroll,no,2020-05-27,477
Low Elemental,Low Elemental,Fire,Unknown Scroll,no,2020-05-27,478
Ghost,Ghost,Fire,Unknown Scroll,no,2020-05-27,479
Vagabond,Vagabond,Wind,Unknown Scroll,no,2020-05-27,480
Low Elemental,Low Elemental,Water,Unknown Scroll,no,2020-05-27,481
Ghost,Ghost,Wind,Unknown Scroll,no,2020-05-27,482
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-27,483
Imp,Imp,Water,Unknown Scroll,no,2020-05-27,484
Ghost,Ghost,Wind,Unknown Scroll,no,2020-05-27,485
Ghost,Ghost,Water,Unknown Scroll,no,2020-05-27,486
Mimick,Mimick,Water,Unknown Scroll,no,2020-05-27,487
Slime,Slime,Fire,Unknown Scroll,no,2020-05-27,488
Mimick,Mimick,Fire,Unknown Scroll,no,2020-05-27,489
Horned Frog,Horned Frog,Water,Unknown Scroll,no,2020-05-27,490
Horned Frog,Horned Frog,Fire,Unknown Scroll,no,2020-05-27,491
Viking,Viking,Water,Unknown Scroll,no,2020-05-27,492
Slime,Slime,Fire,Unknown Scroll,no,2020-05-27,493
Mimick,Mimick,Fire,Unknown Scroll,no,2020-05-27,494
Mushroom,Mushroom,Wind,Unknown Scroll,no,2020-05-27,495
Horned Frog,Horned Frog,Fire,Unknown Scroll,no,2020-05-27,496
Fairy,Fairy,Wind,Unknown Scroll,no,2020-05-27,497
Sandman,Sandman,Wind,Unknown Scroll,no,2020-05-27,498
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-05-27,499
Forest Keeper,Forest Keeper,Fire,Unknown Scroll,no,2020-05-27,500
Ghost,Ghost,Water,Mt. Siz 1 (Hard),no,2020-05-27,501
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-27,502
Ghost,Ghost,Water,Mt. Siz 1 (Hard),no,2020-05-27,503
Mischievous Bat,Mischievous Bat,Fire,Magic Shop,no,2020-05-27,504
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-27,505
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-27,506
Rainbowmon,Rainbowmon,Light,6-star Evolution Reward (first Fire Monster - Fire Slime - Day 4),no,2020-05-28,507
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-05-28,508
Slime,Slime,Fire,Magic Shop,no,2020-05-28,509
Skull Soldier,Skull Soldier,Fire,Magic Shop,no,2020-05-28,510
Mushroom,Mushroom,Fire,Magic Shop,no,2020-05-28,511
Garuda,Garuda,Water,Unknown Scroll,no,2020-05-28,512
Surprise Box,Surprise Box,Water,Unknown Scroll,no,2020-05-28,513
Mushroom,Mushroom,Fire,Unknown Scroll,no,2020-05-28,514
Rainbowmon,Raibowmon,Light,Challenge Reward (Monster Training 101 - Make a 5-star Monster),no,2020-05-28,515
Mushroom,Mushroom,Fire,Magic Shop,no,2020-05-28,516
Rainbowmon,Rainbowmon,Light,Necropolis B2,no,2020-05-28,517
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-28,518
Slime,Slime,Fire,Mt. Siz 2 (Hard),no,2020-05-28,519
Maned Boar,Maned Boar,Fire,Magic Shop,no,2020-05-28,520
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-05-28,521
Mushroom,Mushroom,Fire,Magic Shop,no,2020-05-28,522
Golem,Golem,Fire,Mt. Siz 4 (Hard),no,2020-05-28,523
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-05-28,524
Slime,Slime,Wind,Magic Shop,no,2020-05-28,525
Mushroom,Mushroom,Wind,Magic Shop,no,2020-05-28,526
Maned Boar,Maned Boar,Wind,Magic Shop,no,2020-05-28,527
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-28,528
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-28,529
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-28,530
Slime,Slime,Fire,Magic Shop,no,2020-05-28,531
Mischievous Bat,Mischievous Bat,Fire,Magic Shop,no,2020-05-28,532
Mischievous Bat,Mischievous Bat,Water,Magic Shop,no,2020-05-28,533
Mushroom,Mushroom,Fire,Magic Shop,no,2020-05-28,534
Rainbowmon,Rainbowmon,Light,Mt. Siz 1 (Hard),no,2020-05-28,535
Slime,Slime,Fire,Mt. Siz 1 (Hard),no,2020-05-28,536
Golem,Golem,Fire,Mt. Siz 1 (Hard),no,2020-05-28,537
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-28,538
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-28,539
Ghost,Ghost,Water,Mt. Siz 1 (Hard),no,2020-05-28,540
Rainbowmon,Rainbowmon,Light,Mt. Siz 1 (Hard),no,2020-05-28,541
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-05-28,542
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-05-28,543
Devilmon,Devilmon,Dark,6-star Evolution Reward (first Fire Monster - Fire Slime - Day 5),no,2020-05-29,544
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-05-29,545
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-05-29,546
Maned Boar,Maned Boar,Water,Magic Shop,no,2020-05-29,547
Slime,Slime,Wind,Unknown Scroll,no,2020-05-29,548
Low Elemental,Low Elemental,Wind,Unknown Scroll,no,2020-05-29,549
Surprise Box,Surprise Box,Water,Unknown Scroll,no,2020-05-29,550
Slime,Slime,Water,Unknown Scroll,no,2020-05-29,551
Taru,Imp,Light,Challenge Reward (Daily Dungeon Tips - Clear the 3rd floor of the Hall of Light),yes,2020-05-29,552
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-29,553
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-05-29,554
Sandman,Sandman,Wind,Unknown Scroll,no,2020-05-29,555
Mimick,Mimick,Wind,Unknown Scroll,no,2020-05-29,556
Hellhound,Hellhound,Wind,Unknown Scroll,no,2020-05-29,557
Slime,Slime,Water,Unknown Scroll,no,2020-05-29,558
Slime,Slime,Wind,Unknown Scroll,no,2020-05-29,559
Mimick,Mimick,Water,Unknown Scroll,no,2020-05-29,560
Sandman,Sandman,Water,Unknown Scroll,no,2020-05-29,561
Horned Frog,Horned Frog,Fire,Unknown Scroll,no,2020-05-29,562
Monster Flower,Monster Flower,Fire,Unknown Scroll,no,2020-05-29,563
Sandman,Sandman,Wind,Unknown Scroll,no,2020-05-29,564
Hellhound,Hellhound,Wind,Unknown Scroll,no,2020-05-29,565
Battle Scorpion,Battle Scorpion,Fire,Unknown Scroll,no,2020-05-29,566
Battle Scorpion,Battle Scorpion,Fire,Unknown Scroll,no,2020-05-29,567
Ghost,Ghost,Water,Unknown Scroll,no,2020-05-29,568
Surprise Box,Surprise Box,Wind,Unknown Scroll,no,2020-05-29,569
Slime,Slime,Fire,Unknown Scroll,no,2020-05-29,570
Salamander,Salamander,Wind,Unknown Scroll,no,2020-05-29,571
Sandman,Sandman,Fire,Unknown Scroll,no,2020-05-29,572
Hellhound,Hellhound,Wind,Unknown Scroll,no,2020-05-29,573
Monster Flower,Monster Flower,Wind,Unknown Scroll,no,2020-05-29,574
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-05-29,575
Monster Flower,Monster Flower,Fire,Unknown Scroll,no,2020-05-29,576
Sandman,Sandman,Fire,Unknown Scroll,no,2020-05-29,577
Elemental,Elemental,Water,Unknown Scroll,no,2020-05-29,578
Pixie,Pixie,Water,Unknown Scroll,no,2020-05-29,579
Slime,Slime,Fire,Unknown Scroll,no,2020-05-29,580
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-05-29,581
Monster Flower,Monster Flower,Water,Magic Shop,no,2020-05-29,582
Ghost,Ghost,Water,Mt. Siz 1 (Hard),no,2020-05-29,583
Mimick,Mimick,Wind,Mt. Siz 1 (Hard),no,2020-05-29,584
Mimick,Mimick,Wind,Mt. Siz 1 (Hell),no,2020-05-29,585
Mimick,Mimick,Wind,Mt. Siz 1 (Hell),no,2020-05-29,586
Golem,Golem,Fire,Mt. Siz 1 (Hell),no,2020-05-29,587
Rainbowmon,Rainbowmon,Light,Mt. Siz 1 (Hell),no,2020-05-29,588
Surprise Box,Surprise Box,Fire,Magic Shop,no,2020-05-30,589
Hellhound,Hellhound,Fire,Faimon Volcano 4 (Normal),no,2020-05-30,590
Mimick,Mimick,Wind,Mt. Siz 1 (Hell),no,2020-05-30,591
Golem,Golem,Fire,Mt. Siz 1 (Hell),no,2020-05-30,592
Mushroom,Mushroom,Fire,Social Summon,no,2020-05-30,593
Ghost,Ghost,Water,Social Summon,no,2020-05-30,594
Mimick,Mimick,Fire,Social Summon,no,2020-05-30,595
Mimick,Mimick,Wind,Social Summon,no,2020-05-30,596
Mimick,Mimick,Fire,Social Summon,no,2020-05-30,597
Hellhound,Hellhound,Wind,Social Summon,no,2020-05-30,598
Ghost,Ghost,Fire,Social Summon,no,2020-05-30,599
Howl,Howl,Fire,Social Summon,yes,2020-05-30,600
Mimick,Mimick,Wind,Mt. Siz 1 (Hell),no,2020-05-30,601
Mimick,Mimick,Wind,Mt. Siz 1 (Hell),no,2020-05-30,602
Battle Scorpion,Battle Scorpion,Water,Magic Shop,no,2020-05-30,603
Maned Boar,Maned Boar,Water,Magic Shop,no,2020-05-30,604
Rainbowmon,Rainbowmon,Light,Mt. Siz 1 (Hell),no,2020-05-30,605
Battle Scorpion,Battle Scorpion,Water,Magic Shop,no,2020-05-30,606
Slime,Slime,Water,Magic Shop,no,2020-05-30,607
Ghost,Ghost,Water,Mt. Siz 2 (Hard),no,2020-05-30,608
Mimick,Mimick,Wind,Mt. Siz 2 (Hard),no,2020-05-30,609
Ghost,Ghost,Water,Mt. Siz 2 (Hard),no,2020-05-30,610
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-05-30,611
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-05-30,612
Skull Soldier,Skull Soldier,Wind,Magic Shop,no,2020-05-30,613
Mimick,Mimick,Wind,Mt. Siz 2 (Hard),no,2020-05-30,614
Battle Scorpion,Battle Scorpion,Fire,Magic Shop,no,2020-05-30,615
