monster,family,element,acquired,build,date,id
Mischievous Bat,Mischievous Bat,Fire,Social Summon,no,2020-06-15,1255
Mimick,Mimick,Water,Social Summon,no,2020-06-15,1256
Low Elemental,Low Elemental,Fire,Social Summon,no,2020-06-15,1257
Mushroom,Mushroom,Fire,Social Summon,no,2020-06-15,1258
Devilmon,Devilmon,Dark,Glory Shop,no,2020-06-15,1259
Rainbowmon,Rainbowmon,Light,Guild Shop,no,2020-06-15,1260
Rainbowmon,Rainbowmon,Light,Dragon's Lair B3,no,2020-06-15,1261
Mischievous Bat,Mischievous Bat,Wind,Magic Shop,no,2020-06-15,1262
Giant Warrior,Giant Warrior,Fire,Fire Scroll,no,2020-06-15,1263
Bounty Hunter,Bounty Hunter,Fire,Fire Scroll,yes,2020-06-15,1264
Taoist,Taoist,Fire,Fire Scroll,yes,2020-06-15,1265
Surprise Box,Surprise Box,Fire,Magic Shop,no,2020-06-15,1266
Maned Boar,Maned Boar,Wind,Magic Shop,no,2020-06-15,1267
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-15,1268
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-15,1269
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-15,1270
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-15,1271
Monster Flower,Monster Flower,Water,Garen Forest (Hell),no,2020-06-15,1272
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-06-15,1273
Skull Soldier,Skull Soldier,Water,Magic Shop,no,2020-06-15,1274
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-15,1275
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-15,1276
Monster Flower,Monster Flower,Water,Garen Forest (Hell),no,2020-06-15,1277
Monster Flower,Monster Flower,Wind,Magic Shop,no,2020-06-15,1278
Forest Keeper,Forest Keeper,Wind,Garen Forest (Hell),no,2020-06-15,1279
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-15,1280
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-15,1281
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-06-15,1282
Surprise Box,Surprise Box,Fire,Magic Shop,no,2020-06-15,1283
Surprise Box,Surprise Box,Water,Magic Shop,no,2020-06-16,1284
Mischievous Bat,Mischievous Bat,Water,Magic Shop,no,2020-06-16,1285
Epikion Priest,Epikion Priest,Fire,Exclusive Summon (Summoning Stones),yes,2020-06-16,1286
Charger Shark,Charger Shark,Fire,Exclusive Summon (Summoning Stones),no,2020-06-16,1287
Penguin Knight,Penguin Knight,Fire,Exclusive Summon (Summoning Stones),no,2020-06-16,1288
Penguin Knight,Penguin Knight,Fire,Exclusive Summon (Summoning Stones),no,2020-06-16,1289
Lizardman,Lizardman,Water,Exclusive Summon (Summoning Stones),yes,2020-06-16,1290
Battle Mammoth,Battle Mammoth,Water,Exclusive Summon (Summoning Stones),no,2020-06-16,1291
Battle Mammoth,Battle Mammoth,Water,Exclusive Summon (Summoning Stones),no,2020-06-16,1292
Penguin Knight,Penguin Knight,Fire,Exclusive Summon (Summoning Stones),no,2020-06-16,1293
Lizardman,Lizardman,Water,Exclusive Summon (Summoning Stones),no,2020-06-16,1294
Penguin Knight,Penguin Knight,Fire,Exclusive Summon (Summoning Stones),no,2020-06-16,1295
Serpent,Serpent,Wind,Exclusive Summon (Summoning Stones),no,2020-06-16,1296
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-16,1297
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-16,1298
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-16,1299
Monster Flower,Monster Flower,Water,Garen Forest (Hell),no,2020-06-16,1300
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-16,1301
Mischievous Bat,Mischievous Bat,Water,Magic Shop,no,2020-06-16,1302
Maned Boar,Maned Boar,Water,Magic Shop,no,2020-06-16,1303
Red Angelmon,Angelmon,Fire,6-star Evolution Reward (Repetitive Evolution - Fire Mushroom),no,2020-06-16,1304
Low Elemental,Low Elemental,Water,Magic Shop,no,2020-06-17,1305
Low Elemental,Low Elemental,Water,Social Summon,no,2020-06-17,1306
Forest Keeper,Forest Keeper,Water,Social Summon,no,2020-06-17,1307
Horned Frog,Horned Frog,Water,Social Summon,no,2020-06-17,1308
Slime,Slime,Water,Social Summon,no,2020-06-17,1309
Horned Frog,Horned Frog,Fire,Social Summon,no,2020-06-17,1310
Mimick,Mimick,Fire,Social Summon,no,2020-06-17,1311
Forest Keeper,Forest Keeper,Fire,Social Summon,no,2020-06-17,1312
Horned Frog,Horned Frog,Fire,Social Summon,no,2020-06-17,1313
Sandman,Sandman,Wind,Social Summon,no,2020-06-17,1314
Low Elemental,Low Elemental,Wind,Social Summon,no,2020-06-17,1315
Surprise Box,Surprise Box,Fire,Magic Shop,no,2020-06-17,1316
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-06-17,1317
Monster Flower,Monster Flower,Water,Garen Forest (Hell),no,2020-06-17,1318
Mimick,Mimick,Wind,Mt. Siz (Hell),no,2020-06-17,1319
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-06-17,1320
Low Elemental,Low Elemental,Water,Magic Shop,no,2020-06-17,1321
Slime,Slime,Fire,Mt. Siz (Hell),no,2020-06-17,1322
Ghost,Ghost,Water,Mt. Siz (Hell),no,2020-06-17,1323
Mimick,Mimick,Wind,Mt. Siz (Hell),no,2020-06-17,1324
Slime,Slime,Fire,Mt. Siz (Hell),no,2020-06-17,1325
Monster Flower,Monster Flower,Water,Garen Forest (Hell),no,2020-06-17,1326
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-06-17,1327
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-17,1328
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-17,1329
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-17,1330
Monster Flower,Monster Flower,Fire,Magic Shop,no,2020-06-17,1331
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-06-18,1332
Dryad,Dryad,Water,Water Scroll,yes,2020-06-18,1333
Vagabond,Vagabond,Fire,Fire Scroll,no,2020-06-18,1334
Lizardman,Lizardman,Wind,Wind Scroll,no,2020-06-18,1335
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-18,1336
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-18,1337
Forest Keeper,Forest Keeper,Wind,Garen Forest (Hell),no,2020-06-18,1338
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-18,1339
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-18,1340
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-18,1341
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-18,1342
Surprise Box,Surprise Box,Fire,Magic Shop,no,2020-06-18,1343
Surprise Box,Surprise Box,Wind,Magic Shop,no,2020-06-18,1344
Mischievous Bat,Mischievous Bat,Fire,Magic Shop,no,2020-06-18,1345
Maned Boar,Maned Boar,Water,Social Summon,no,2020-06-18,1346
Viking,Viking,Water,Social Summon,no,2020-06-18,1347
Harpu,Harpu,Wind,Social Summon,no,2020-06-18,1348
Howl,Howl,Wind,Social Summon,no,2020-06-18,1349
Slime,Slime,Water,Social Summon,no,2020-06-18,1350
Horned Frog,Horned Frog,Water,Social Summon,no,2020-06-18,1351
Sandman,Sandman,Water,Social Summon,no,2020-06-18,1352
Slime,Slime,Fire,Social Summon,no,2020-06-18,1353
Low Elemental,Low Elemental,Wind,Social Summon,no,2020-06-18,1354
Low Elemental,Low Elemental,Wind,Social Summon,no,2020-06-18,1355
Battle Scorpion,Battle Scorpion,Fire,Social Summon,no,2020-06-18,1356
Ghost,Ghost,Water,Social Summon,no,2020-06-18,1357
Low Elemental,Low Elemental,Water,Social Summon,no,2020-06-18,1358
Horned Frog,Horned Frog,Water,Social Summon,no,2020-06-18,1359
Forest Keeper,Forest Keeper,Fire,Social Summon,no,2020-06-18,1360
Ghost,Ghost,Wind,Social Summon,no,2020-06-18,1361
Slime,Slime,Wind,Social Summon,no,2020-06-18,1362
Forest Keeper,Forest Keeper,Wind,Social Summon,no,2020-06-18,1363
Sandman,Sandman,Wind,Social Summon,no,2020-06-18,1364
Low Elemental,Low Elemental,Wind,Social Summon,no,2020-06-18,1365
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-18,1366
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-18,1367
Blue Angelmon,Angelmon,Water,Event Reward (Legendary Lucky Board Event),no,2020-06-18,1368
Monster Flower,Monster Flower,Water,Garen Forest (Hell),no,2020-06-18,1369
Martial Artist,Martial Artist,Water,Unknown Scroll,yes,2020-06-19,1370
Hellhound,Hellhound,Fire,Unknown Scroll,no,2020-06-19,1371
Skull Soldier,Skull Soldier,Fire,Unknown Scroll,no,2020-06-19,1372
Suprise Box,Surprise Box,Fire,Unknown Scroll,no,2020-06-19,1373
Slime,Slime,Water,Unknown Scroll,no,2020-06-19,1374
Mushroom,Mushroom,Water,Unknown Scroll,no,2020-06-19,1375
Slime,Slime,Water,Unknown Scroll,no,2020-06-19,1376
Mimick,Mimick,Fire,Unknown Scroll,no,2020-06-19,1377
Forest Keeper,Forest Keeper,Wind,Unknown Scroll,no,2020-06-19,1378
Horned Frog,Horned Frog,Wind,Unknown Scroll,no,2020-06-19,1379
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-19,1380
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-19,1381
Rainbowmon,Rainbowmon,Light,Necropolis B2,no,2020-06-19,1382
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-19,1383
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-19,1384
Maned Boar,Maned Boar,Fire,Garen Forest (Hell),no,2020-06-19,1385
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-19,1386
Blue Angelmon,Angelmon,Water,Event Reward (Legendary Lucky Board Event),no,2020-06-19,1387
Werewolf,Werewolf,Water,Water Scroll,no,2020-06-19,1388
Giant Warrior,Giant Warrior,Water,Water Scroll,yes,2020-06-19,1389
Inferno,Inferno,Water,Water Scroll,no,2020-06-19,1390
Mushroom,Mushroom,Wind,Garen Forest (Hell),no,2020-06-19,1391
Ghost,Ghost,Water,Unknown Scroll,no,2020-06-20,1392
Horned Frog,Horned Frog,Water,Unknown Scroll,no,2020-06-20,1393
Slime,Slime,Water,Unknown Scroll,no,2020-06-20,1394
Mimick,Mimick,Fire,Unknown Scroll,no,2020-06-20,1395
Horned Frog,Horned Frog,Fire,Unknown Scroll,no,2020-06-20,1396
Slime,Slime,Wind,Unknown Scroll,no,2020-06-20,1397
Low Elemental,Low Elemental,Wind,Unknown Scroll,no,2020-06-20,1398
Mushroom,Mushroom,Wind,Unknown Scroll,no,2020-06-20,1399
Mushroom,Mushroom,Wind,Unknown Scroll,no,2020-06-20,1400
Slime,Slime,Wind,Unknown Scroll,no,2020-06-20,1401
Monster Flower,Monster Flower,Wind,Unknown Scroll,no,2020-06-20,1402
Mischievous Bat,Mischievous Bat,Wind,Unknown Scroll,no,2020-06-20,1403
Mushroom,Mushroom,Water,Unknown Scroll,no,2020-06-20,1404
Ghost,Ghost,Fire,Unknown Scroll,no,2020-06-20,1405
Forest Keeper,Forest Keeper,Fire,Unknown Scroll,no,2020-06-20,1406
Slime,Slime,Wind,Unknown Scroll,no,2020-06-20,1407
Low Elemental,Low Elemental,Wind,Unknown Scroll,no,2020-06-20,1408
Sandman,Sandman,Wind,Unknown Scroll,no,2020-06-20,1409
Slime,Slime,Wind,Unknown Scroll,no,2020-06-20,1410
Mushroom,Mushroom,Wind,Unknown Scroll,no,2020-06-20,1411
Monster Flower,Monster Flower,Water,Garen Forest (Hell),no,2020-06-20,1412
Forest Keeper,Forest Keeper,Wind,Garen Forest (Hell),no,2020-06-20,1413
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-20,1414
Talc,Battle Mammoth,Water,Exclusive Summon (Summoning Stones),yes,2020-06-20,1415
Rainbowmon,Rainbowmon,Light,Garen Forest (Hell),no,2020-06-20,1416
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-20,1417
Forest Keeper,Forest Keeper,Wind,Garen Forest (Hell),no,2020-06-20,1418
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-20,1419
Inugami,Inugami,Water,Garen Forest (Hell),no,2020-06-20,1420
